year,group,enrollment
2014,male,9098490
2014,female,11890734
2015,male,9013311
2015,female,11700394
2016,male,8917432
2016,female,11614395
2017,male,8833901
2017,female,11593736
2018,male,8700594
2018,female,11580451
2019,male,8618718
2019,female,11635722
2020,male,8138001
2020,female,11525769
2021,male,8030964
2021,female,11280741
2022,male,8067902
2022,female,11141403
2023,male,8338448
2023,female,11365140
2024,male,8612500
2024,female,11744726
