UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR,low_retention,risk_score
146719,17384,1409,3470,8208,545,82,60,13,0,0.2220445900324231
146807,60,6,24,29,0,100,100,17,0,0.3940742228765403
146816,310,186,43,73,0,26,0,26,1,0.4414588684677246
147004,9399,184,2692,5585,5,71,47,25,0,0.37330390588000995
147013,2392,204,99,1235,192,67,100,16,1,0.329653285547141
147244,1586,253,55,1025,70,75,0,10,0,0.36287821523110014
147341,713,70,76,498,4,74,NA,9,0,0.36775467061783235
147369,2202,165,141,934,208,84,57,14,0,0.31569634696751253
147378,11296,1085,3349,4835,108,75,56,21,0,0.3954569816413822
147396,59,0,11,45,0,89,NA,8,0,0.36406137269095784
147411,3562,91,2910,174,0,66,43,18,1,0.400728905367239
147536,8915,1917,3108,2368,536,50,26,17,1,0.3905595295531379
147660,3003,211,546,1762,103,77,NA,12,0,0.34666674113922447
147679,2557,282,734,829,279,62,NA,12,1,0.313320313279992
147703,15414,2741,3407,6831,972,70,30,15,0,0.3004460597944376
147767,23856,1543,2521,7840,5238,98,NA,6,0,7.96380832385773e-4
147776,5734,614,2788,1160,208,52,46,9,1,0.3398405098717807
147800,8329,627,1714,3109,466,69,53,14,1,0.2402771955412502
147819,65,4,2,58,0,100,NA,13,0,0.3805037739242227
147828,3339,274,405,2027,56,71,0,15,0,0.36643407559931346
147916,6014,843,698,3474,158,70,55,14,0,0.37143089607885843
148007,2953,1455,763,377,43,51,49,12,1,0.4985512071680174
148016,339,36,17,120,139,83,NA,6,0,0.32348081769615744
148098,53,6,20,26,0,86,NA,5,0,0.35530686943609535
148131,1210,137,108,788,86,70,NA,12,0,0.3587425913756165
148256,2015,101,43,1662,0,64,44,19,1,0.39116467781386577
148292,2388,630,133,1435,2,60,40,15,1,0.4316875088066649
148380,5978,529,1686,3050,26,70,52,19,0,0.4047520308026796
148405,1241,198,256,562,94,65,NA,10,1,0.35678819476823737
148487,4281,788,1227,1102,668,62,20,11,1,0.25789841399487323
148496,3803,253,2063,1084,20,78,67,12,0,0.3819752847401816
148584,3074,288,722,1801,44,79,NA,15,0,0.3844286235208126
148627,3485,413,1712,1081,0,76,0,16,0,0.4185849058455592
148654,4628,601,403,2231,957,75,40,13,0,0.18563717070544214
148672,1467,36,248,1082,4,74,56,14,0,0.37585853816670517
148821,1156,202,49,839,0,67,36,15,1,0.3983815684232989
148876,810,54,671,10,30,52,53,12,1,0.3746929428225017
148937,1446,36,44,1264,4,66,35,17,1,0.3836593529897258
148991,1247,84,50,1079,1,66,83,14,1,0.3826707817555325
149028,263,18,43,179,0,100,NA,6,0,0.35788851551083584
149204,59,4,12,43,0,82,NA,6,0,0.358173103771756
149222,11790,1856,1058,7255,874,67,28,11,1,0.25103168045746926
149231,11893,1655,705,6971,948,76,55,15,0,0.21207119772621227
149310,115,4,1,0,110,64,NA,10,1,0.3419190073058907
149329,91,0,0,91,0,89,NA,15,0,0.38642559025428547
149365,3818,2068,872,583,0,63,41,17,1,0.588699277843723
149505,854,117,189,426,85,81,NA,10,0,0.3552617798562305
149514,869,64,62,389,202,13,17,3,1,0.2962413476989745
149532,9842,1124,4925,2665,112,68,44,21,1,0.4478217989646378
149550,164,37,6,105,0,74,75,10,0,0.37312355315074486
149639,323,12,47,225,15,88,NA,5,0,0.3498395858392165
149727,8305,645,3875,3144,0,70,56,21,0,0.4372978011758299
149772,6332,966,661,3615,652,61,18,12,1,0.26287601707529135
149781,2874,101,233,1896,194,93,NA,10,0,0.30396792877273293
149842,13988,574,4696,5750,176,77,58,21,0,0.3023663889171892
150066,1228,129,74,866,37,60,33,10,1,0.3631845181351976
150136,21089,2289,1876,14574,401,78,52,14,0,0.3310401665284507
150145,1167,72,130,757,127,72,25,12,0,0.34248012464936217
150163,5746,327,399,4364,83,87,NA,11,0,0.33490445715863704
150172,658,181,220,217,12,42,0,11,1,0.3862055410111294
150251,182,19,37,102,0,38,100,15,1,0.3875347448035076
150303,319,139,76,86,0,72,76,21,0,0.41955939717580804
