UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR,low_retention,risk_score
162654,1459,335,29,582,77,79,25,9,0,0.36108521060584875
162690,5085,654,623,2887,30,68,54,17,1,0.4010401031937064
162706,5067,858,407,3074,101,67,53,17,1,0.40721627036484626
162760,2101,317,246,1112,149,68,NA,10,1,0.34491065284237077
162779,8643,2402,1181,1902,565,69,49,14,1,0.36830354197755083
162830,77,15,3,53,0,95,NA,15,0,0.3879749373004831
162928,30210,2226,3037,9781,8152,98,NA,6,0,3.2308288922307814e-5
163028,1258,606,315,185,0,73,48,18,0,0.45148821176120413
163046,4897,648,680,2973,97,87,100,12,0,0.3771036431947505
163204,63012,17860,10329,18287,977,55,17,21,1,0.9625815150642395
163268,13906,2998,1201,3782,2127,85,56,17,0,0.09213717716248261
163286,41725,5060,4047,15209,4889,96,90,17,0,0.0021957000925145334
163295,1687,215,191,523,336,83,NA,9,0,0.28603021768380427
163338,3177,2151,102,419,109,62,9,11,1,0.5413261901828414
163347,354,317,9,12,0,48,NA,35,1,0.4856210893817022
163408,101,50,50,1,0,56,55,25,1,0.4253911524549497
163426,18835,4545,5650,3503,1940,75,51,18,0,0.21556191303186428
163453,10739,7913,577,155,1035,73,56,18,0,0.809277031638477
163462,2408,437,354,1242,126,71,100,13,0,0.3719166750196643
163532,449,0,0,407,42,80,NA,20,0,0.3888458382920349
163541,229,209,18,2,0,51,53,25,1,0.44108554942713574
163578,1788,523,185,660,46,73,NA,9,0,0.3890842559004257
163657,11473,6636,2295,341,378,67,51,16,1,0.8292831134234335
163815,35,12,5,17,0,86,100,25,0,0.4213531534562738
163851,7025,951,536,4741,70,78,50,14,0,0.39956326982946694
163912,1630,183,148,1118,10,86,NA,10,0,0.37244332775289896
163976,583,6,49,369,77,83,NA,8,0,0.33964678813809496
164076,19401,6318,2049,7756,354,83,56,14,0,0.7451232594461784
164155,4474,293,664,2497,58,97,NA,8,0,0.33173820498650597
164173,3684,1161,362,1756,32,79,NA,15,0,0.4684554097758576
164216,923,81,94,614,22,84,NA,8,0,0.358549589755617
164270,2868,518,252,1602,207,76,NA,13,0,0.35362397869022427
164313,2941,830,235,1561,40,66,53,13,1,0.4304905211682276
164368,2008,29,62,61,1785,80,NA,10,0,0.06898384645225819
164447,2037,405,485,877,102,57,50,16,1,0.390764654217485
164465,1914,170,264,696,254,97,NA,6,0,0.2895480728777688
164492,1202,174,159,572,46,60,NA,12,1,0.3699110593369651
164535,47,22,9,11,0,33,NA,10,1,0.3727394114170023
164562,2037,120,257,1437,48,84,NA,11,0,0.3573405782297641
164580,3932,184,529,1088,1313,95,NA,15,0,0.11451999734172735
164614,43,2,3,38,0,33,0,6,1,0.3579989995969128
164632,2605,295,481,1393,11,73,NA,8,0,0.36754167056860526
164739,5333,234,681,2753,853,93,NA,12,0,0.17054285304804323
164748,8369,525,1040,3078,2697,89,60,9,0,0.02452128108334127
164775,1694,123,239,1068,8,57,40,10,1,0.3653936820613245
164872,853,48,122,329,208,75,100,9,0,0.31162769703675036
164924,15432,836,1685,8539,1628,96,NA,10,0,0.0637194608013471
164988,37737,1929,3579,12524,9910,95,NA,10,0,2.526714874276318e-6
165015,5205,280,422,2015,1280,87,100,10,0,0.10734795519388762
165024,9727,1041,953,6586,122,75,42,17,0,0.3818286230585152
165033,6950,897,1063,3704,0,54,44,16,1,0.4125594318741504
165060,146,40,8,79,0,88,NA,7,0,0.36387743652835575
165112,9876,2313,2910,1740,722,67,46,21,1,0.3580197542749372
165167,1835,331,732,495,73,100,50,12,0,0.38102496062441604
165194,3260,372,475,2057,0,69,54,12,1,0.3879921594842119
165255,174,6,11,133,0,95,89,12,0,0.3762165911200842
165334,3925,164,365,1650,1369,86,NA,8,0,0.1017526098975057
165529,1994,289,262,1137,33,66,0,12,1,0.37979178845902584
165574,1092,123,135,685,25,68,NA,15,1,0.3834674430967322
165608,17,2,2,13,0,67,100,5,1,0.35501123018557523
165635,241,45,97,75,0,82,NA,20,0,0.40694793981701505
165644,60,13,3,35,0,57,NA,3,1,0.34930794158417594
165662,5263,356,674,2860,687,87,NA,14,0,0.21433205375510467
165671,1983,155,353,1236,20,79,NA,13,0,0.37500369485452595
165699,4394,105,339,3544,54,84,0,13,0,0.3405521083884808
165750,97,14,20,51,0,85,83,12,0,0.3779745674250889
165802,1652,170,275,354,164,55,NA,14,1,0.3335573196300359
165820,5892,616,736,3747,226,69,0,11,1,0.3293414637906412
165866,4002,554,858,2071,73,71,33,12,0,0.38354102024371584
165884,744,247,265,96,1,50,NA,10,1,0.39005733500415246
165936,1595,67,160,1009,125,84,33,10,0,0.3302755429412808
165981,1689,98,237,1168,0,63,57,10,1,0.3665649109637947
166018,844,61,109,522,48,78,NA,13,0,0.3665935198073414
166027,30259,1880,2770,9826,8013,98,NA,7,0,3.021942882890479e-5
166054,274,5,5,215,4,71,NA,7,0,0.35776517323977686
166124,3126,146,399,2121,117,95,NA,9,0,0.326101440236875
166133,4200,301,1333,2088,43,62,49,15,1,0.37891940975612776
166391,1668,177,206,969,64,70,NA,12,0,0.36252337923686767
166452,2557,195,333,1400,63,72,33,10,0,0.3460887858383019
166489,317,11,24,93,173,86,NA,4,0,0.30731291898505847
166498,66,6,16,37,0,92,100,13,0,0.38070712449897465
166513,16598,1478,2431,8010,1001,84,49,17,0,0.15482323439671478
166629,31726,1387,2691,16730,4505,92,45,17,0,0.0016039236718474227
166638,15575,2421,2759,5102,1628,70,46,15,0,0.12186742607650507
166647,4578,700,1173,1862,141,56,50,16,1,0.3864921405836895
166656,5945,618,722,2106,866,74,100,9,0,0.17248850898385665
166674,1989,88,297,1071,91,89,100,9,0,0.33182710555390593
166683,11886,528,1041,2647,3455,99,NA,3,0,0.006404827165766318
166692,1488,21,85,1187,21,87,NA,13,0,0.3630873508286239
166805,44,12,10,18,0,80,0,12,0,0.3782447531873429
166823,5574,1898,705,2332,39,63,47,12,1,0.5196954101023802
166850,5862,279,633,4175,119,79,NA,13,0,0.32700788745588494
166887,9374,817,1760,4251,506,64,41,21,1,0.26668271157515266
166911,227,11,29,158,0,91,0,8,0,0.3635368236314292
166939,2275,123,236,1197,430,89,NA,9,0,0.25638741324814046
166957,3694,378,890,2057,7,63,44,16,1,0.40079779566070795
167039,15,5,1,7,0,69,NA,12,1,0.377696366408966
167057,853,13,38,236,414,88,NA,5,0,0.2496993318857628
167260,1392,94,145,1026,34,72,NA,15,0,0.376670816419207
167288,896,67,59,642,10,76,0,8,0,0.3599800454315361
167297,155,10,6,110,3,90,NA,12,0,0.3758739729439655
167312,5743,536,2033,2119,7,61,45,16,1,0.397636151792148
167358,32553,1208,2322,10006,11530,97,NA,16,0,4.482096292989307e-7
167376,4721,268,2309,1680,98,61,50,19,1,0.38156639000435433
167394,1268,162,306,569,21,76,NA,11,0,0.374007327734961
167525,3022,725,312,1260,146,60,54,22,1,0.413330052905948
167534,7811,1290,1978,3207,45,62,50,16,1,0.4450103859943621
167598,2517,179,348,624,4,79,NA,9,0,0.3393674531458872
167631,2044,935,446,113,167,36,43,14,1,0.4165539365255216
167729,6230,490,1442,3402,246,75,65,12,0,0.317975669441567
167783,4666,433,501,2127,199,85,100,9,0,0.30123600503081077
167792,314,15,15,104,91,77,NA,6,0,0.33224668978528515
167835,2857,142,341,1493,371,94,NA,8,0,0.2613394982116771
167871,260,90,40,112,5,71,75,7,0,0.36724669863608145
167899,2599,212,275,1771,95,81,NA,11,0,0.3489044262625131
167905,5447,802,2160,1644,51,63,45,18,1,0.43010803531540137
167987,7968,1281,873,4048,884,64,36,16,1,0.23385143592008992
167996,2674,156,208,2022,69,84,NA,12,0,0.3525799284509149
168005,6356,528,856,3198,848,75,60,15,0,0.1911838024127539
168032,23,4,1,17,0,55,100,12,1,0.37755739104505903
168148,13599,857,1313,5813,2001,95,NA,10,0,0.04135240967379814
168218,2407,199,332,714,316,96,NA,7,0,0.2719556261494252
168227,4191,390,653,2277,196,84,0,17,0,0.34222182584272653
168254,3674,215,418,2180,283,74,100,12,0,0.2928574747555131
168263,4588,293,685,3031,53,74,43,17,0,0.3703787864667752
168281,1785,92,142,1246,79,82,NA,11,0,0.34610424354649594
168342,2164,128,299,993,224,97,NA,6,0,0.29165229360528167
168421,7584,194,587,4198,1160,94,67,13,0,0.11208284981450703
168430,5745,518,1060,3303,116,78,75,16,0,0.3636733626405261
168528,1765,104,106,1080,107,65,NA,16,1,0.35241860680718307
168546,1308,202,165,703,69,71,NA,11,0,0.36463929114280064
168555,26,0,0,24,0,74,50,8,0,0.36421485388499675
168591,1197,69,43,910,65,85,NA,14,0,0.36276194751484736
168607,1581,22,53,1390,0,50,NA,15,1,0.3754601884893229
168740,2940,556,593,645,692,83,50,10,0,0.23503259605142662
168786,1157,33,107,850,49,78,100,10,0,0.351386413343782
168847,3955,438,241,2850,12,66,17,9,1,0.3729174744424899
168883,2149,48,68,1821,0,59,29,18,1,0.38159567025971886
168892,97,12,4,61,0,92,25,13,0,0.3806713126599634
169080,3681,197,177,2514,498,87,NA,13,0,0.2493991422481167
169187,93,13,5,63,0,67,100,4,1,0.3521665540961821
169248,14488,1156,726,9747,1659,75,32,16,0,0.08618253685160294
169275,6718,1294,385,3648,18,60,47,19,1,0.45270178115990894
169284,259,47,40,130,0,73,57,12,0,0.3796725682378394
169327,1004,277,33,557,39,66,0,18,1,0.40583297980741107
169363,1135,99,74,671,45,45,100,21,1,0.3914910109314086
169442,1433,194,95,671,131,82,75,10,0,0.33926458050093744
169479,4815,689,437,2814,144,82,30,18,0,0.38109016480603514
169503,225,90,20,102,4,76,NA,20,0,0.41026654565390797
169521,8397,868,732,6079,47,62,45,16,1,0.3966971551920011
169576,124,113,2,4,0,100,NA,14,0,0.3945281236179265
169655,1417,219,257,574,0,72,NA,25,0,0.4266867530070282
169716,5587,486,378,2412,1377,83,68,12,0,0.10933015902599207
169761,643,409,5,147,0,51,NA,21,1,0.4436470637681098
169798,12631,2117,1110,7305,703,69,38,14,1,0.3031958894534508
169813,38,29,0,6,0,100,NA,19,0,0.40296557635206365
169910,9959,945,658,7256,141,78,64,15,0,0.35744998533493694
169974,1183,50,180,835,0,64,53,24,1,0.41228112033366604
169983,1466,76,65,1024,117,94,NA,11,0,0.33730456330971
169992,882,6,27,749,4,64,54,15,1,0.3781381228054082
170000,1017,207,104,564,7,65,50,15,1,0.39701771575980294
170037,1695,155,117,1140,67,78,NA,15,0,0.3688360948838913
170055,12468,1302,2516,7183,58,59,50,19,1,0.41964855098323667
170082,22011,1683,1757,16334,625,76,48,15,0,0.22992006326427616
170091,210,62,8,115,3,49,33,14,1,0.3874430910367723
170286,1792,0,0,0,0,97,100,8,0,0.312675288457446
170301,3395,130,281,2601,91,88,NA,9,0,0.32913855554657573
170532,1166,65,198,713,58,85,0,10,0,0.3527726356432814
170541,6334,816,579,3994,111,64,50,14,1,0.3777070141934923
170550,4036,404,368,2786,16,62,41,9,1,0.36799926295982593
170587,1905,41,61,1542,0,61,47,17,1,0.37824254831100385
170611,70,15,5,42,0,90,NA,16,0,0.39128405259152776
170620,2937,327,439,1625,55,84,54,17,0,0.3838776200045926
170639,1567,41,31,1105,110,79,75,13,0,0.33869557878998235
170657,9821,996,966,6590,81,70,51,16,0,0.38056058615494137
170675,3693,575,104,1629,874,78,100,11,0,0.195535047794421
170736,50,2,0,44,0,88,91,11,0,0.37383665827417756
170790,16300,2525,957,10128,277,61,56,24,1,0.43631039850134395
170806,2124,326,95,1342,206,72,20,11,0,0.33545903806635397
170967,1193,166,59,750,35,60,0,13,1,0.3758356410661047
170976,52855,2688,5218,23025,8667,97,80,11,0,6.911656742153934e-6
171012,176,152,7,6,0,50,NA,33,1,0.46230098018454213
171100,52089,3364,3477,33416,4419,90,65,17,0,0.002064295630235449
171128,7403,85,210,5528,718,89,50,13,0,0.17207345630552218
171137,8104,645,518,4654,963,82,40,16,0,0.16571456075957722
171146,6529,970,370,4207,155,78,47,14,0,0.37838020483383467
171155,3692,107,215,2999,15,64,38,28,1,0.40313535935726585
171225,2210,69,125,1502,0,65,48,15,1,0.36726685216026606
171234,1751,23,113,1352,0,57,55,13,1,0.3651346184196664
171304,3617,332,355,2630,17,69,34,18,1,0.39675992514026126
171395,1613,46,10,1360,3,66,43,15,1,0.37465970308162055
171456,7409,170,314,6089,82,78,63,18,0,0.32503679868543517
171483,3253,47,165,2438,6,84,NA,13,0,0.34813122395390633
171492,2409,210,172,1664,103,79,68,14,0,0.35612866056221454
171535,15287,3305,1038,7415,907,56,47,23,1,0.34815761542489976
171571,15768,1495,879,10570,720,78,43,17,0,0.22105945917075867
171599,979,176,68,649,2,61,NA,17,1,0.40286218704546045
171775,37,14,3,19,0,33,40,9,1,0.3688094038062693
171881,161,47,19,70,8,59,100,9,1,0.3689400573445404
171988,135,45,19,47,0,44,NA,45,1,0.49210393363241584
171997,237,171,7,25,1,49,NA,47,1,0.5113042782174578
172015,116,46,8,48,1,36,NA,39,1,0.4715567483056636
172033,351,4,35,185,12,100,NA,7,0,0.3537660966938981
172051,6822,575,394,5110,224,78,25,16,0,0.33240814987142303
172264,1781,235,164,1046,0,70,0,14,0,0.3887113727701093
172291,3317,169,189,2524,24,60,54,17,1,0.37237932610259095
172307,2000,256,21,1408,0,57,34,17,1,0.39813539655384594
172334,2441,232,117,1587,48,77,100,12,0,0.3610901682535302
172422,118,13,2,93,0,80,NA,5,0,0.355155762087519
172495,274,12,29,198,0,53,NA,13,1,0.37926451000430333
172617,11133,1653,916,6330,291,64,56,19,1,0.37425229626490497
172635,11887,6907,499,3015,149,54,38,26,1,0.8863683275056394
172644,23803,4019,1732,12662,1313,83,43,14,0,0.21753729613140535
172671,1120,30,128,890,2,68,46,12,1,0.37127949051708814
172680,86,4,9,68,0,86,100,13,0,0.38032695963373747
172699,16744,1319,1458,11030,1159,81,64,16,0,0.139375895955239
172866,56,4,5,26,0,0,NA,8,1,0.3640201933939255
172918,3281,76,140,2520,18,77,59,22,0,0.37775073939023357
172954,1970,366,150,1178,4,62,52,19,1,0.41789116095555595
172963,8486,1132,560,4873,46,58,46,26,1,0.42733188053601356
173045,3249,833,405,1152,94,72,0,14,0,0.4070918309940516
173063,3959,212,499,2676,32,75,50,20,0,0.37981518647999085
173115,978,143,46,594,8,74,56,16,0,0.39185694552308925
173124,4072,139,166,3183,70,73,29,18,0,0.35246100533551183
173142,899,23,75,617,138,72,NA,12,0,0.3370251679921566
173160,3603,253,250,2654,16,86,33,14,0,0.37145426858806463
173203,4981,111,195,4022,4,69,40,20,1,0.3638161951319427
173258,2128,123,215,1086,224,96,NA,8,0,0.2972238186921678
173300,1935,94,95,1443,111,84,NA,12,0,0.34047327394167987
173328,6003,928,499,2913,683,67,17,16,1,0.25406530717206227
173416,2894,294,411,1782,13,74,56,23,0,0.4139669544291587
173452,878,12,12,801,18,85,NA,10,0,0.3602556492943035
173461,4074,116,165,3318,35,61,58,19,1,0.3640643224485665
173559,5645,527,296,4256,29,69,50,18,1,0.3919978025982067
173638,3695,170,450,2628,53,68,61,18,1,0.36829413333085514
173647,1906,42,119,1495,103,88,NA,12,0,0.3388396087303521
173665,2565,275,213,1521,47,78,NA,14,0,0.37098991248064445
173708,4572,959,544,2185,19,73,59,21,0,0.45384984101907533
173735,3174,183,155,2482,29,62,50,17,1,0.37516213447959096
173744,623,79,61,408,0,85,NA,20,0,0.40603642269527285
173799,3804,691,511,1999,14,56,46,20,1,0.4352649518374469
173902,2138,133,232,1067,321,92,NA,10,0,0.2832085156540696
173911,2731,245,376,1822,90,59,41,16,1,0.370539796960449
173920,15271,900,925,10819,1352,80,69,21,0,0.11105407189213026
174020,6660,2260,544,2316,142,68,65,15,1,0.5106090285266683
174066,56666,4572,3677,30824,5410,91,67,17,0,6.254782785365129e-4
174075,2612,130,134,1911,75,80,50,18,0,0.36395349974028823
174127,831,49,99,524,32,75,NA,12,0,0.3658488939611886
174136,6733,2450,880,1975,140,56,43,27,1,0.578401509274574
174154,748,245,53,284,0,70,86,15,0,0.40368001174159823
174190,122,9,8,88,0,76,NA,15,0,0.38681309929313706
174233,9253,186,348,6759,170,81,46,16,0,0.267217510626662
174251,981,24,74,493,51,74,0,9,0,0.34290278913600575
174321,199,20,12,163,0,89,NA,10,0,0.37146683536203357
174358,4386,224,205,3382,172,75,83,17,0,0.3323176750786686
174376,5563,1442,463,2052,124,60,47,24,1,0.46335366029710395
174428,11026,2732,1385,4810,164,62,50,31,1,0.5720972516528348
174437,852,124,119,519,9,82,79,14,0,0.3872135411897774
174473,2631,178,167,1981,37,70,57,18,0,0.38123215150633916
174491,3234,128,151,2617,18,83,0,16,0,0.3688702930181418
174525,95,1,4,80,0,45,100,10,1,0.37008221398797936
174570,1794,97,61,1257,1,52,41,21,1,0.394980241841375
174738,5205,779,462,3257,36,58,54,23,1,0.4353918551979745
174747,1429,31,148,1081,53,86,NA,11,0,0.35179367117802873
174756,4030,843,266,2537,67,65,49,23,1,0.44921125236504966
174783,10732,924,439,6415,1289,71,54,18,0,0.123959137819288
174792,1572,59,117,1159,98,86,NA,12,0,0.3443083436994345
174817,4505,371,243,2551,71,75,NA,18,0,0.3561277498862918
174844,3124,97,301,2082,330,92,NA,11,0,0.2764964147141585
174862,1846,106,159,1352,49,70,31,15,0,0.3687315598437294
174899,2930,136,118,2136,110,82,100,12,0,0.3328320448011647
174914,9410,752,900,5880,487,88,50,14,0,0.2516001264196849
174978,128,36,26,31,0,72,67,19,0,0.40253609037849936
175005,3651,546,394,1999,15,80,0,9,0,0.38050930727473936
175014,9416,2789,1093,3807,0,100,NA,16,0,0.5871594042305788
175041,5198,1847,519,1226,158,60,40,21,1,0.4918084278693503
175078,8214,289,489,6262,161,74,24,16,0,0.3017690262610047
175227,1537,107,114,918,9,76,33,12,0,0.3667969355336832
175236,3148,139,323,2375,12,70,48,19,0,0.38417934612293747
175263,2331,103,152,1784,15,63,46,19,1,0.3845207130095551
175272,6045,216,314,4876,133,79,75,14,0,0.31946246191756406
175315,8726,1161,981,4053,98,58,45,25,1,0.4021547881640598
175342,2995,2870,17,45,53,77,27,16,0,0.6573249488554563
175421,4213,1878,99,978,728,68,40,12,1,0.3350032214029734
175430,968,129,75,634,12,68,0,13,1,0.38148736851488824
175494,73,27,0,39,0,82,NA,20,0,0.40571925734144443
175519,1633,1535,12,68,1,78,33,17,0,0.545825414343006
175573,2932,1220,75,1507,0,73,20,20,0,0.5099027826518947
175616,2654,1115,64,1250,107,67,27,12,1,0.4432106629928959
175643,2785,967,220,1320,22,60,5,19,1,0.472330924030556
175652,3841,1940,107,1526,8,66,18,17,1,0.5654239641388312
175698,23,18,3,2,0,85,67,12,0,0.3790369954575009
175722,21,9,0,12,0,100,NA,15,0,0.3878817491513571
175786,8859,5050,297,2828,0,58,23,15,1,0.8036940260591907
175810,5039,2268,95,2370,2,56,25,18,1,0.5948860660818757
175829,5139,1454,198,3172,0,74,18,21,0,0.5182522303087936
175856,6326,5820,14,195,213,62,24,14,1,0.8343836361589722
175883,4753,1565,174,2785,21,56,16,26,1,0.5469401349919688
175935,2780,1318,72,1215,0,66,19,16,1,0.5068584336585588
175980,593,134,37,345,19,58,NA,9,1,0.3709535922009826
176008,1978,1272,53,482,0,55,10,15,1,0.5046178489565649
176017,26449,2818,1410,19737,837,87,53,18,0,0.2552637320212519
176035,2193,785,38,1241,18,67,100,10,1,0.42925049896891493
176044,2205,1948,55,117,0,70,67,13,0,0.5712731210895309
176053,4164,776,142,2792,160,78,0,14,0,0.3846508476335588
176062,57,7,0,50,0,100,NA,14,0,0.38413434003804714
176071,8694,2019,696,4459,0,62,23,23,1,0.5346359809391451
176080,23150,3610,1025,16265,934,83,47,16,0,0.3224033053189793
176169,3442,597,134,2555,0,68,27,19,1,0.4348657019128491
176178,7867,2908,536,4014,0,68,41,22,1,0.6548390593890601
176239,6011,1839,40,3630,0,65,15,26,1,0.5639791932005978
176318,467,428,9,3,17,84,NA,10,0,0.407002433975785
176336,93,25,1,60,0,65,NA,7,1,0.3629518534823866
176354,1758,792,40,820,13,69,29,21,1,0.47282818394035947
176372,13170,3421,664,7384,790,72,37,18,0,0.42664466654192346
176406,1301,703,10,2,287,83,50,9,0,0.3474852774109504
176433,63,20,1,41,0,100,50,14,0,0.3854189847826583
176479,5321,1452,146,3003,270,78,NA,14,0,0.41313877224751355
176628,2768,415,241,871,1052,71,0,19,0,0.18115573476815547
176664,434,26,33,331,6,59,25,7,1,0.3586253176376002
176716,109,30,9,58,0,95,NA,25,0,0.4224783923944422
176770,724,16,40,596,0,0,11,8,1,0.35955716062366916
176789,244,13,20,182,8,55,67,7,1,0.35843336644339957
176798,159,29,2,118,0,84,78,12,0,0.3789150851439295
176910,189,23,18,126,5,69,0,10,1,0.370291036247768
176947,1041,151,81,632,98,62,NA,12,1,0.35825352963826285
176965,12857,802,510,7217,3412,74,45,18,0,0.01211907526379944
176983,65,2,2,57,1,84,92,5,0,0.3543382483025794
177038,588,16,61,347,0,50,NA,6,1,0.35236420142440056
177065,5689,1179,642,3018,249,75,26,20,0,0.408935457112758
177083,63,2,13,46,0,75,NA,4,0,0.35159022549907715
177117,254,17,32,177,13,67,0,6,1,0.35455146290719686
177135,3959,61,444,2812,56,59,40,13,1,0.33473802962133364
177144,1028,159,54,719,35,67,NA,15,1,0.38560925182503897
177214,1615,53,70,1156,142,79,NA,14,0,0.336775190064327
177250,2371,26,99,2067,25,67,44,12,1,0.3535500898684726
177302,619,150,100,310,0,69,NA,38,1,0.4756214090033692
177339,2289,102,165,1734,77,76,NA,15,0,0.35713128738081196
177436,30,1,0,27,0,60,NA,8,1,0.36428660093592513
177472,11380,315,871,9038,0,100,NA,18,0,0.3284389045344058
177542,499,36,24,350,23,78,22,8,0,0.3571910956128685
177551,1002,821,26,29,61,68,10,12,1,0.4381581249958073
177588,55,50,2,3,0,46,NA,25,1,0.42523728122915644
177603,157,33,14,95,0,88,100,11,0,0.37610425034025946
177676,3775,87,125,3315,27,69,48,14,1,0.354048819940114
177685,107,22,10,67,0,88,NA,15,0,0.3885008076794835
177746,813,68,135,495,5,78,NA,10,0,0.36933868612795606
177931,25,3,0,22,0,83,NA,3,0,0.348738142029606
177940,2054,787,71,876,140,60,51,11,1,0.3991200962560266
177968,6826,1015,330,4201,305,66,26,14,1,0.33804472376332523
177977,2346,33,27,2126,0,90,81,17,0,0.37611937350606345
177986,1406,122,26,913,32,50,50,9,1,0.354545070823222
177995,13523,2151,2055,7327,169,67,39,14,1,0.439796069638133
178059,9261,1361,713,5931,251,85,32,13,0,0.3688717840989204
178077,97,11,2,74,0,95,NA,19,0,0.4004871649396328
178183,177,90,5,69,0,76,NA,19,0,0.40813846497641154
178208,3945,112,329,2335,83,81,30,17,0,0.33330546013938434
178217,2447,66,69,2048,58,65,34,21,1,0.3756838712924365
178244,5699,410,16,4593,89,65,30,15,1,0.3501565580457169
178341,4147,240,390,2687,182,63,16,15,1,0.3234430261834172
178369,1770,216,227,740,429,53,67,18,1,0.2951366802385097
178387,3716,378,32,2493,34,54,32,15,1,0.37165758595811516
178396,31543,1602,1843,23890,1417,93,67,17,0,0.07414047098014907
178402,14732,1542,1888,7497,1203,75,23,13,0,0.14032483689861983
178411,7154,218,357,4588,974,87,50,17,0,0.14827321952238146
178420,14736,2052,642,9772,330,74,40,13,0,0.3561026244244329
178448,5384,425,292,4155,22,63,43,22,1,0.3994805960995978
178527,47,0,5,40,0,67,67,18,1,0.3966256509973645
178615,3664,85,145,2928,267,85,100,12,0,0.28933960803739556
178624,9152,398,397,6828,716,74,47,16,0,0.19260616132306854
178679,736,15,38,610,8,83,100,17,0,0.38643151736295583
178697,1454,25,67,1241,24,90,NA,14,0,0.36771640500726355
178721,5736,1049,1266,2132,513,58,17,13,1,0.3075138610660465
178891,1784,417,69,1087,2,100,NA,11,0,0.3991922975895678
179043,3577,266,458,2381,65,79,NA,12,0,0.35634939719800124
179159,17059,1299,1117,8656,3405,88,33,9,0,0.010258545735430455
179195,31,2,0,29,0,25,NA,16,1,0.3903616170207945
179265,648,76,7,414,17,69,NA,9,1,0.3631718825669666
179326,2199,107,34,1377,22,65,15,10,1,0.3454654616029297
179344,1919,37,55,1635,4,62,21,13,1,0.3653849091704412
179511,153,142,3,4,0,92,50,17,0,0.40732430417664234
179539,4242,180,412,3371,26,60,31,20,1,0.381731596270346
179548,568,41,8,297,2,78,NA,8,0,0.3590359032693181
179557,9501,637,273,6442,1240,76,35,20,0,0.13100063623366853
179566,24360,843,1363,18558,1101,77,62,21,0,0.09901416234533207
179645,2604,242,104,2066,17,66,44,20,1,0.4015566343255035
179715,1951,48,9,1729,22,66,37,19,1,0.3814422999818285
179867,16357,1162,1468,5717,4512,95,60,7,0,0.002571356263263586
179894,8260,1168,341,2508,3631,69,15,16,1,0.012756722263034608
179946,640,55,37,481,19,71,NA,9,0,0.36283134016002777
179955,959,78,113,591,53,74,NA,10,0,0.3561953827328621
179964,2046,274,149,1303,46,58,31,16,1,0.386247192102031
179991,39,0,1,36,0,92,NA,20,0,0.4032691211920969
180054,318,0,1,18,0,75,NA,7,0,0.35226632713799494
180081,727,6,16,546,0,55,43,14,1,0.375553096162184
180090,79,0,4,72,0,85,NA,20,0,0.4029728892877195
180106,1156,10,80,874,0,82,NA,12,0,0.3662536129526486
180151,332,14,17,232,15,54,50,13,1,0.3744970967202914
180160,185,0,0,5,0,64,60,13,1,0.3750748152871241
180179,4129,32,305,3155,70,56,45,14,1,0.329364137891747
180197,2234,13,92,1789,9,63,44,15,1,0.3628783970991895
180212,362,4,2,68,1,30,27,18,1,0.38773726953522303
180249,1502,11,100,1184,0,56,45,17,1,0.3797981765446044
180258,763,40,30,529,20,72,25,9,0,0.35793663634801737
180276,1554,12,80,1187,0,55,42,15,1,0.3712820023424159
180328,262,0,1,2,0,52,43,12,1,0.36948911375203985
180373,710,13,16,588,15,63,53,13,1,0.37104501165442305
180416,1702,27,80,1289,48,77,33,14,0,0.3563400138993194
180461,17135,100,1092,14010,419,79,55,18,0,0.18390545322667803
180489,10811,118,617,7366,183,75,43,17,0,0.24070090375179604
180522,966,15,40,620,0,64,40,13,1,0.3687141629255091
180595,1032,45,91,744,54,69,NA,14,1,0.3651786482819173
180647,671,3,45,154,0,82,0,6,0,0.3435704897199866
180692,1358,15,64,1014,4,79,100,16,0,0.375364647858282
180814,14667,2161,2361,6646,3,58,47,12,1,0.43441705158840443
180832,1121,46,29,608,0,61,62,10,1,0.35770384189883525
180878,765,15,38,598,0,71,61,9,0,0.3613745863213237
180902,6927,180,1877,4692,0,69,45,16,1,0.3723982084366804
180948,2098,63,221,1628,35,63,0,15,1,0.36748425981689825
180957,53,6,24,13,0,71,NA,9,0,0.3678874868389583
180984,3479,70,251,2212,129,80,NA,14,0,0.3170354819121065
181002,8581,291,874,5850,180,94,NA,11,0,0.2769154928600567
181020,1985,75,164,1252,70,79,NA,11,0,0.3411584814358936
181127,956,40,131,584,63,66,NA,14,1,0.36237168996710567
181190,92,4,15,63,0,77,NA,7,0,0.36091639446234336
181215,5881,140,758,4444,290,80,17,14,0,0.28548168977368527
181297,1067,71,83,802,2,86,100,13,0,0.37774490221804824
181303,16642,1468,3025,8098,118,60,38,20,1,0.34028352686380164
181312,2140,51,193,1688,74,63,37,11,1,0.34333696213387516
181330,1558,121,286,896,110,69,NA,14,1,0.3552850818987401
181394,14972,1103,2392,9094,707,78,53,15,0,0.21235071269059963
181446,1654,84,146,1230,56,75,NA,12,0,0.3573281472315308
181464,24393,694,2184,17574,1663,86,52,17,0,0.051744854719094076
181491,5720,77,686,4352,118,75,42,20,0,0.3342924574747774
181534,1492,165,127,1075,26,64,33,17,1,0.3915962668987093
