term,estimate,std.error,statistic,p.value
(Intercept),-0.6665147325085881,0.07262876487474858,-9.177007672621466,4.432367216991488e-20
EFTOTLT,-1.292084282702033e-4,5.185599139782705e-5,-2.491677910059542,0.012714127476359135
EFBKAAT,5.338123347716408e-4,7.848741052851202e-5,6.8012478839230335,1.0371678141356938e-11
EFHISPT,1.4100729487081636e-4,6.328251769621123e-5,2.228218787813156,0.025865928809933617
EFWHITT,9.761576802259343e-5,6.291057344396262e-5,1.5516591675888052,0.1207437977252573
EFNRALT,-0.001033408893066492,1.74621949897236e-4,-5.917978201907877,3.2592314984933623e-9
STUFACR,0.013801829868491622,0.004182465036069979,3.299927136141801,9.670993409872744e-4
