UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR
235097,10492,535,1744,6525,63,67,38,18
235167,2490,184,367,1409,6,70,44,17
235316,7470,142,1010,4573,404,93,NA,12
235352,131,13,31,62,0,85,NA,20
235422,937,17,640,127,4,57,33,9
236018,40,17,3,8,0,100,NA,13
236133,1053,63,116,573,136,84,0,9
236212,1072,4,682,299,12,84,NA,18
236230,2797,157,511,1285,118,82,100,12
236328,1864,58,204,1223,10,84,NA,10
236452,1390,98,300,535,61,65,0,11
236577,2261,188,376,793,179,72,100,13
236595,7189,477,965,2344,862,84,50,10
236744,50,1,4,44,0,67,NA,17
236896,1426,55,337,666,145,85,0,14
236939,25685,790,4386,14488,1290,78,40,15
236948,56997,1985,4691,16953,7963,95,87,20
237011,14710,277,1641,10094,172,79,49,18
237057,1561,45,199,867,220,87,NA,10
237066,2314,55,299,1497,109,78,0,11
237127,49,0,0,49,0,57,NA,20
237136,223,6,3,200,7,66,0,7
237145,17,0,0,15,0,100,NA,6
237172,78,8,0,65,0,93,80,12
237181,640,101,34,289,48,54,NA,12
237215,1141,244,56,767,2,55,45,13
237242,51,2,2,46,0,31,0,6
237303,46,8,0,33,0,70,NA,8
237312,3062,304,270,1953,210,75,40,15
237321,47,2,0,42,0,73,NA,12
237330,1943,192,8,1516,77,65,40,16
237358,661,43,42,396,96,65,NA,10
237367,3305,175,8,2877,38,67,37,14
237385,1765,127,58,1444,53,55,17,13
237437,182,24,5,144,0,82,NA,17
237473,99,12,11,73,0,85,NA,15
237491,18,1,0,17,0,23,NA,6
237525,11958,575,315,8918,201,72,24,16
237543,120,14,1,103,0,74,73,11
237561,43,7,2,33,0,80,NA,14
237570,68,5,2,55,0,84,NA,10
237701,1077,55,47,908,12,58,40,13
237729,168,22,0,145,0,85,82,9
237783,1083,136,41,644,114,55,15,19
237792,3339,244,271,2434,26,71,71,17
237817,1482,12,27,1412,0,50,33,18
237844,109,2,2,105,0,92,NA,21
237899,3246,326,69,2371,92,57,50,13
237932,2299,119,5,1728,69,69,38,12
237950,1278,42,40,1005,103,62,0,13
237969,1055,129,56,709,90,67,NA,13
237987,394,20,0,354,0,82,NA,25
238005,86,31,22,31,0,83,NA,15
238014,1525,64,31,1339,9,61,67,11
238032,23643,797,1058,18667,984,83,43,19
238078,774,140,27,404,133,54,NA,15
238096,31,2,1,27,0,80,NA,10
238175,109,4,25,74,0,100,NA,14
238193,1317,266,380,445,59,61,25,13
238324,927,12,21,808,0,95,100,10
238333,1004,77,177,534,129,81,NA,12
238397,2811,211,454,1899,20,60,54,8
238458,3138,121,382,2164,104,78,50,14
238476,2844,164,498,1804,66,73,0,14
238616,5253,385,273,2633,1192,78,NA,11
238661,2459,148,232,1551,42,73,0,15
238722,10670,298,728,7636,54,80,64,12
238759,10100,1061,2550,5833,2,71,63,15
238810,60,0,1,57,0,88,67,9
238980,2813,166,272,1806,17,63,33,12
239008,3303,85,333,2499,1,67,59,14
239017,1417,64,173,843,159,87,100,7
239071,960,17,63,793,11,88,80,11
239080,1246,86,141,833,56,67,75,11
239105,11746,667,1576,7615,399,91,75,14
239220,3144,58,193,2589,0,73,62,13
239248,13792,4329,2875,4305,142,64,50,10
239309,838,50,153,535,2,80,NA,11
239318,2953,97,316,1960,140,84,NA,12
239372,4171,102,357,3304,24,79,72,13
239390,1182,214,300,501,13,67,0,9
239442,1384,15,56,1054,0,62,62,9
239460,6746,90,344,4729,7,59,48,18
239488,11826,503,1467,8557,0,74,51,17
239512,286,12,26,190,21,31,NA,5
239628,709,24,74,556,12,72,NA,12
239716,2032,37,109,1638,30,84,NA,14
239877,57,3,3,46,0,78,100,12
239910,2849,82,127,2505,0,70,50,14
240107,2094,58,152,1668,54,76,NA,10
240116,8330,115,369,6677,0,72,55,14
240125,8367,493,923,5566,13,78,70,22
240170,3625,92,3,2772,0,45,49,9
240189,11746,622,1117,9123,56,78,44,21
240198,2940,58,97,2531,2,80,69,8
240268,10049,117,429,8505,240,82,50,19
240277,11174,274,1114,8308,200,66,30,25
240329,10446,82,414,9208,87,87,50,20
240338,1027,60,96,769,8,73,NA,11
240365,12953,264,858,10425,160,69,38,22
240374,3925,340,774,2318,97,69,43,20
240392,5274,2137,585,1910,0,40,77,19
240417,6926,123,275,5599,343,79,40,18
240426,2833,81,102,2267,201,72,25,18
240444,51044,1353,4068,28707,7955,96,81,18
240453,22450,2052,3275,12499,1363,73,27,17
240462,6389,119,357,5506,79,79,50,20
240471,5243,103,249,4489,54,76,64,19
240480,8233,122,417,7024,35,74,32,21
240505,3403,61,314,2654,58,66,39,13
240514,2205,6,398,1175,55,65,25,15
240596,1457,17,175,1157,23,68,39,19
240666,3534,25,341,2893,29,65,41,15
240693,2653,15,430,2006,19,60,75,11
240709,47,2,16,29,0,70,67,16
240718,1335,21,391,851,4,89,NA,15
240727,10813,108,1051,7871,586,80,54,13
240754,2896,11,25,60,8,77,36,14
240790,1239,3,14,8,118,73,50,23
240879,93,0,93,0,0,73,NA,29
241146,168,0,168,0,0,44,NA,8
241182,286,0,286,0,0,73,NA,20
241191,939,10,882,11,34,80,40,18
241216,1540,0,1540,0,0,82,40,23
241225,698,0,690,0,8,80,33,13
241304,2676,2,2660,3,0,63,52,13
241331,2504,2,2386,12,19,82,33,20
241377,957,0,957,0,0,71,75,11
241386,127,0,127,0,0,71,0,9
241395,640,0,634,0,0,87,100,10
241410,5568,2,5326,5,26,83,100,16
241517,119,0,119,0,0,20,NA,16
241614,266,0,266,0,0,100,71,3
241720,491,0,491,0,0,56,NA,10
241739,6097,0,6097,0,0,69,17,22
241766,347,0,344,0,3,88,83,4
241836,1065,0,1065,0,0,67,60,15
241906,237,0,237,0,0,75,NA,10
241951,466,2,460,3,0,72,100,10
242042,323,0,323,0,0,81,75,6
242112,430,0,430,0,0,40,NA,13
242121,173,0,173,0,0,60,NA,7
242130,339,0,339,0,0,58,50,20
242149,373,0,373,0,0,46,33,27
242556,216,0,216,0,0,78,100,6
242583,179,0,179,0,0,68,100,5
242617,3114,2,3106,1,0,80,20,25
242626,3161,1,3151,6,0,81,57,26
242635,2624,2,2617,2,0,71,0,26
242644,1020,1,1019,0,0,73,60,21
242653,4101,23,4041,18,0,76,0,18
242662,2925,3,2903,14,0,69,50,22
242680,1197,2,1189,4,0,76,29,22
242699,2487,7,2460,19,0,83,0,26
242705,3556,2,3543,6,0,74,46,30
242820,431,0,431,0,0,65,NA,25
242945,156,0,156,0,0,77,34,25
242954,76,0,76,0,0,77,47,20
242972,30794,1686,27241,1153,4,64,40,18
243106,1928,45,1614,38,0,69,NA,19
243115,2704,0,2704,0,0,76,NA,19
243133,2851,0,2851,0,0,78,NA,21
243142,2576,76,2477,2,0,71,100,20
243151,2093,0,2093,0,0,76,0,24
243179,2577,61,2327,20,1,81,0,14
243188,334,3,268,2,0,46,NA,9
243197,10618,0,9697,0,272,87,50,19
243212,2373,0,2373,0,0,73,NA,22
243221,11312,432,9648,258,0,77,10,11
243346,5185,0,5185,0,0,75,16,27
243443,5037,8,5010,16,0,79,58,21
243568,604,3,569,5,0,71,NA,11
243577,4223,7,3868,346,0,78,54,18
243586,679,0,677,0,1,78,100,13
243601,9909,0,9909,0,0,75,35,28
243638,1729,0,0,0,0,40,17,13
243647,393,1,0,2,0,72,60,11
243665,1792,1178,243,122,138,69,57,10
243744,18625,1051,2391,4386,4790,98,NA,6
243780,58658,1627,4071,29486,9967,93,58,14
243823,2308,414,236,1187,24,50,33,8
243832,1513,8,1498,3,0,60,13,14
243841,439,0,439,0,0,47,50,21
244233,305,113,69,108,0,0,0,15
244279,163,39,35,83,0,50,NA,15
244437,17437,7408,2607,2948,983,66,55,23
244446,3282,2398,300,289,46,58,43,18
244613,443,112,195,110,1,64,75,31
245281,98,93,0,5,0,55,NA,16
245625,944,109,224,518,9,65,52,22
245652,467,4,46,302,53,82,NA,8
245777,61,0,0,61,0,75,NA,10
245953,2397,305,314,1271,104,65,33,14
245962,389,187,9,103,0,66,50,18
245980,38,6,2,23,0,85,NA,13
245999,2834,354,686,1232,0,40,24,20
246017,1159,15,94,778,0,26,57,10
246035,254,39,98,78,1,65,NA,28
246071,113,25,15,63,0,100,NA,10
246415,39,2,35,2,0,40,55,4
246460,122,23,43,35,1,70,NA,15
246813,4459,826,770,2527,32,73,55,13
246895,595,47,278,170,0,82,83,18
246974,326,62,202,6,2,60,NA,20
247010,92,0,5,74,0,87,NA,15
247047,111,4,39,65,0,86,NA,19
247153,196,126,7,43,0,39,NA,16
247409,84,37,11,26,0,42,NA,42
247603,2247,194,447,1404,37,58,38,16
247649,672,30,41,494,5,63,50,7
247773,75,0,0,75,0,96,NA,13
247940,4875,219,279,3816,0,69,56,21
248192,17,0,0,17,0,14,NA,10
248527,93,38,1,48,0,80,NA,20
248606,1403,81,273,702,0,89,82,10
248624,71,12,0,57,0,93,NA,15
248633,60,5,5,46,0,42,NA,10
248660,87,9,3,63,0,50,100,20
248703,273,82,72,85,0,94,80,18
248925,1101,231,191,504,54,85,65,18
248934,12572,5128,1989,3938,25,56,NA,13
249061,52,43,4,0,0,63,20,15
249238,288,100,94,53,1,100,NA,16
249609,15,4,3,4,0,85,NA,18
250027,518,63,4,412,0,76,NA,9
250285,385,165,88,89,2,74,NA,15
250744,437,372,1,48,0,40,NA,16
250902,88,34,3,23,0,87,68,20
250993,518,7,36,333,0,64,64,16
251260,5063,935,284,3465,1,67,38,21
251312,504,339,13,60,6,57,25,21
260363,16,0,0,16,0,42,NA,7
260372,204,8,0,37,0,100,NA,6
260691,705,47,223,298,0,73,NA,25
260929,183,8,33,128,0,84,NA,14
260965,97,19,29,44,0,70,NA,10
261436,777,109,48,513,1,91,NA,12
261676,39,0,2,33,0,53,NA,20
261685,51,27,3,10,0,22,NA,17
261719,164,95,11,27,0,68,NA,15
261773,32,3,2,27,0,4,0,2
262031,6143,519,395,4142,168,63,42,22
262086,8996,1045,357,4805,142,62,41,24
262129,881,45,175,468,115,76,NA,8
262165,36,1,0,33,0,43,NA,6
262341,692,89,186,329,0,90,NA,12
262457,447,20,307,56,2,80,NA,28
362700,283,31,123,117,0,72,100,12
363013,38,8,3,24,0,63,NA,19
363147,339,157,25,129,1,74,NA,21
363165,1626,357,913,271,0,75,58,5
363633,743,8,602,99,0,43,36,11
363679,182,57,3,113,0,56,93,14
363712,60,0,0,51,9,50,NA,12
363882,73,20,5,44,0,67,NA,15
363907,591,0,591,0,0,76,50,10
363916,192,0,192,0,0,65,100,11
363934,933,151,174,406,4,77,41,15
364025,15085,689,4193,7397,135,70,45,26
364548,314,77,51,144,0,73,74,4
364575,28,0,0,28,0,86,NA,7
364627,420,15,51,268,0,90,38,5
364636,168,32,6,119,0,88,100,19
364946,358,9,55,188,0,91,72,4
364964,15,2,0,11,0,43,NA,9
365091,246,119,33,45,1,100,NA,20
365125,193,4,103,58,0,97,NA,24
365198,679,15,71,297,0,100,100,17
365213,632,6,172,331,0,55,44,8
365374,2197,132,362,1299,0,84,68,15
365383,85,23,10,47,0,43,NA,11
365480,1009,33,103,603,0,75,64,8
365505,27,4,5,15,0,67,NA,7
365693,161,5,18,130,0,100,NA,14
365763,36,16,6,8,0,82,NA,18
365824,130,33,17,48,0,56,NA,43
365833,134,63,20,26,1,66,NA,45
366003,471,69,133,86,149,54,75,18
366155,35,31,1,3,0,75,NA,20
366191,1156,134,468,369,1,77,NA,37
366252,4575,213,263,3811,4,81,63,14
366261,254,57,59,129,0,35,NA,29
366270,326,290,2,34,0,70,NA,17
366395,19973,1590,8016,7950,143,62,50,25
366401,8103,355,2358,2299,95,81,46,25
366465,2300,720,227,1219,8,59,51,16
366535,257,191,0,58,0,64,NA,17
366553,550,176,88,242,3,58,NA,20
366623,287,0,47,203,0,88,83,13
366711,16237,650,8244,4042,173,79,58,24
367088,109,7,3,97,0,100,50,20
367103,101,55,6,40,0,59,NA,12
367112,8,4,0,3,0,100,NA,4
367158,75,54,6,8,0,43,NA,75
367361,65,40,7,9,0,60,NA,12
367431,15,0,1,13,0,78,NA,9
367459,8412,196,1990,4528,22,62,40,13
367875,695,173,231,201,0,2,2,15
367972,353,156,2,181,0,90,NA,18
367981,86,14,26,39,0,100,87,25
368230,164,97,45,8,0,63,73,22
368364,332,9,102,175,0,84,78,11
368407,23,6,0,17,0,50,75,6
368452,247,60,21,152,0,88,NA,10
368629,471,35,101,213,0,91,NA,24
368771,209,13,32,110,0,38,NA,50
368832,43,0,8,0,0,100,100,20
368911,1903,457,283,1075,10,69,53,11
369400,788,70,103,483,0,77,NA,15
369419,581,216,235,95,0,29,NA,20
369446,55,0,11,16,5,100,100,15
369455,183,27,22,130,0,88,NA,12
369668,171,1,2,164,2,87,90,10
369686,305,110,178,14,0,92,NA,20
369783,256,118,113,22,0,92,NA,26
371052,315,220,10,66,0,43,NA,31
371690,953,58,639,146,0,27,NA,30
371830,91,2,73,11,0,100,NA,25
371928,101,4,49,21,0,64,NA,10
372028,71,6,29,21,0,80,NA,38
372073,174,29,92,11,0,0,NA,22
372082,71,6,56,3,0,83,NA,20
372240,44,40,1,0,0,100,NA,15
372329,297,7,137,134,1,40,NA,15
372356,162,31,66,32,0,91,55,19
372462,50,3,7,31,0,64,0,7
372921,607,373,115,72,0,59,NA,25
373085,42,18,5,12,0,10,NA,40
373216,103,9,32,54,0,95,NA,16
